Name,Price,Images,Details,product_link
230g Men's Oversized Thick Round Neck T-shirt Summer Short Sleeved T-shirt Pure Cotton Solid Color Top Casual Versatile T-shirt,$8.98,"https://ae-pic-a1.aliexpress-media.com/kf/S13c21f2f69e44109be945aa0aeacff10r.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5500d0da9f884a28b8c722db6eb0a8a75.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42b74ce949034be28f79ba5fb56b40eeI.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd119d6cea9294a91b34d3d9d4563859f1.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S1457ed8156d749adba7ef113a45677584.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Summer', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Hooded', 'No', 'Collar', 'O-Neck', 'Material', 'COTTON', 'Style', 'Casual', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256807605824852.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-0&pdp_ext_f=%7B%22order%22%3A%2235395%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007792139604%22%2C%22orig_item_id%22%3A%221005008841521992%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.32%218.98%21%21%21125.48%2161.49%21%402101ee6617740392819583236e65ef%2112000042217618648%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895&curPageLogUid=G7DKQgzWwmgf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792139604%7C_p_origin_prod%3A1005008841521992
Cotton Linen Shirt Men Henley Neck Pocket Casual Beach Short Sleeve Solid Color Male Tops T-shirts Vintage Streetwear,$7.22,"https://ae-pic-a1.aliexpress-media.com/kf/Sff867bca05f5486bbf7551b61b16ffe0U.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sff867bca05f5486bbf7551b61b16ffe0U.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb16bd03adc224b47b291c57bc4e23316R.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3f49ac0cf78e4d53a4a2d0190a290daaq.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S92134f11930440d5bddfb7b5a5bea4e42.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable,Lightweight', 'Product Care Instructions', 'Hand Wash Only', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Summer', 'Applicable Scene', 'Daily', 'Fabric Type', 'Broadcloth', 'Hooded', 'No', 'Pattern Type', 'Solid', 'Collar', 'Henry Collar', 'Material', 'COTTON,Linen', 'Style', 'Casual', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Brand Name', 'King Billion', 'Origin', 'Mainland China', 'CN', 'Anhui', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256806730557526.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-3&pdp_ext_f=%7B%22order%22%3A%2225052%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.60%217.22%21%21%21120.52%2149.41%21%402101ee6617740392819583236e65ef%2112000038718871797%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895&curPageLogUid=FOHXFcnekKVL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006916872278%7C_p_origin_prod%3A
100% Cotton T-shirt Men Women Solid Color O Neck Short-sleeved Tops Summer Korean Loose Half-sleeve T Shirt Unisex M-4XL,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S11b6e799ec524ebf901650c14effe80bh.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S11b6e799ec524ebf901650c14effe80bh.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd798a661d9394fafa37c99c7b4c8d4add.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sc8d5a173688941d1928f1dcf23eb3acci.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S30f5e0aac65644c5aae28aa640961d1dY.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable,Moisture Wicking', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Tatting', 'Applicable Season', 'Summer', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Fabric Type', 'Broadcloth', 'Hooded', 'No', 'Pattern Type', 'Solid', 'Sleeve Style', 'conventional', 'Collar', 'O-Neck', 'Material', 'COTTON', 'Style', 'Casual', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256805268356686.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-6&pdp_ext_f=%7B%22order%22%3A%2217112%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.73%210.99%21%21%2139.22%216.76%21%402101ee6617740392819583236e65ef%2112000033146914355%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847505&curPageLogUid=xnYzhNJ2QRcW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005454671438%7C_p_origin_prod%3A
Men's T Shirt Outdoor Training Fitness Gym Jogging Running Sweatshirt Bat/-Man Compression Shirts Tight Elastic Breathable,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S7158d6c616804eeaaaf6c3ec985d182ak.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S082ac2b8fecd424d892c1b118aff87c2Z.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S87c78e710088410a92276e7aaa6bda77O.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf7e702ec406043a290ffbeba7a119ae0q.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8c75ee024bf44e18ab12da993b33199al.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable,Moisture Wicking,Quick Dry', 'Product Care Instructions', 'Hand Wash Only', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Hooded', 'No', 'Collar', 'O-Neck', 'Material', 'POLYESTER,Elastane', 'Style', 'Sports', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256806661760389.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-7&pdp_ext_f=%7B%22order%22%3A%2217002%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.70%210.99%21%21%2132.21%216.81%21%402101ee6617740392819583236e65ef%2112000038506080209%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=VBLo983ljHev&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006848075141%7C_p_origin_prod%3A
Men's Summer Exercise Trainning T-shirt High Quality Breathable Quick Dry Short Sleeved Top Marathon Gym Fitness Basketball Tees,$4.98,"https://ae-pic-a1.aliexpress-media.com/kf/S821f3f38100d448cb12f21f157f194e4P.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S3d9b4309d07141a2a6c620b51428e1aev.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S38845e33a99547739b49357ee42adaf6y.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfd012e3cdc7a4445a58d145fb732ddd87.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd117cfe71709453983fd9b60c9e047e4E.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif","['Special Features', 'Breathable,Lightweight,Quick Dry', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Summer', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Hooded', 'No', 'Collar', 'O-Neck', 'Material', 'POLYESTER', 'Style', 'Sports', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256808160684024.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-8&pdp_ext_f=%7B%22order%22%3A%2216263%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.14%214.98%21%21%2183.16%2134.10%21%402101ee6617740392819583236e65ef%2112000044681760195%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895&curPageLogUid=WaYfZxDVk2xQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008346998776%7C_p_origin_prod%3A
90 Minutes Series MM9 JUL Football Shirt Men's Summer Outdoor Sports Quick-drying Jersey Fitness Training O-neck T-shirt,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/Sb72b1ddbbc1b498c8a855db7f90a7d0ev.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S0e51e7c7066e4eb8a868161cd2603d582.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sab594c34caec4d949ec30a22f9fda8f8o.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S42d96991d7da4aa7990f502f063afd5ax.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S080ec70022514629b0f0f8fc43491c524.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Special Features', 'Breathable,Quick Dry', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Spring And Summer', 'Applicable Scene', 'CASUAL', 'Place Of Origin', 'China (mainland)', 'Fabric Type', 'Broadcloth', 'Hooded', 'No', 'Pattern Type', 'Print', 'Sleeve Style', 'short', 'Collar', 'O-Neck', 'Material', 'POLYESTER', 'Style', 'Sports', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Tops Type', 'TEES', 'Origin', 'Mainland China', 'Gender', 'Men', 'Item Type', 'tops', 'CN', 'Jiangxi', 'Style', 'jersey', 'Style2', 'VALORANT', 'Style3', 'E-sports uniforms', 'Style4', 'E-sports jerseys', 'Style5', 'ropa hombre', 'Style6', 'mens t shirt', 'Style7', 'ofertas', 'Style8', 'camiseta manga', 'Style9', 'men clothing', 'Style10', 'Karmine Corp']",https://www.aliexpress.us/item/3256808881332365.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-13&pdp_ext_f=%7B%22order%22%3A%2211821%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.65%210.99%21%21%2145.52%216.75%21%402101ee6617740392819583236e65ef%2112000047800575494%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847505&curPageLogUid=h2D1SkuToZYT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009067647117%7C_p_origin_prod%3A
9.9oz 280gsm High Qualtity Oversized Heavy T-shirt for Men Short Sleeve Tee Cotton Solid Color Trend Leisure Green White Black,$6.80,"https://ae-pic-a1.aliexpress-media.com/kf/Sfb002895952644ee81ff911608095ec6X.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sf36d8a859aa64daebb17635eee8868b6H.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S34e90f9b7110447d89bec271779677c2q.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S25d2721b17ac4f6aa778219145aac3fce.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd270ebb75c0c41bc8cae9aab3e998c82u.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable,Moisture Wicking,Sustainable', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Spring And Summer', 'Applicable Scene', 'Daily', 'Place Of Origin', 'China (mainland)', 'Fabric Type', 'Broadcloth', 'Hooded', 'No', 'Pattern Type', 'Solid', 'Collar', 'O-Neck', 'Material', 'COTTON', 'Style', 'Japan Style', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Brand Name', 'SYCPMAN', 'Origin', 'Mainland China', 'CN', 'Guangdong', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256806942068058.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-15&pdp_ext_f=%7B%22order%22%3A%2210402%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2135.92%215.80%21%21%21246.06%2139.78%21%402101ee6617740392819583236e65ef%2112000039498692704%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=bq7KkPOWOjPN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007128382810%7C_p_origin_prod%3A
Jersey 90 Minute Mm9 Men's Street Wear 3d Printed Quick Drying Breathable T-shirt Children's 3d Round Neck Short Sleeve Top,$6.74,"https://ae-pic-a1.aliexpress-media.com/kf/Sa7c447547b5a4aa484d3d0a61d88ce94a.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sfdc7b77f818a45d580ca36ea5ab1147eP.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Saa2edf61444e43cbae36001602db46d6K.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S75229815f041441bb05415a13ff91a4cT.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S5330bb1198c84c2b8ae77409e7bd96673.jpg_220x220q75.jpg_.avif","['Special Features', 'Breathable', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Non-Woven', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'Daily', 'Pattern Type', 'Print', 'Collar', 'O-Neck', 'Material', 'POLYESTER', 'Style', 'Normcore/Minimalist', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Tops Type', 'TEES', 'Origin', 'Mainland China', 'Gender', 'Men', 'Item Type', 'tops', 'CN', 'Jiangxi']",https://www.aliexpress.us/item/3256808742843985.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-17&pdp_ext_f=%7B%22order%22%3A%229228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.26%210.99%21%21%2149.75%216.82%21%402101ee6617740392819583236e65ef%2112000047242059591%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=hcKBJ7mQHej5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008929158737%7C_p_origin_prod%3A
Round Neck T-Shirt 7-Piece White Ultra-Light Men's Quick-Drying Breathable Sweat-Absorbent Shirt Suitable for Fitness Gym and Ru,$10.94,"https://ae-pic-a1.aliexpress-media.com/kf/S5f732728340245fe81ecf3da3ca793f0r.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S66ef3a4fcb6c4dde814d0d3347cb9d9bm.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sd310baab1d4545b497b35a1bad98aeca5.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S4c34088a083249f99274f30639660b7cR.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/Sb7e9c9c31b7246f5a4faa83cc261dde1s.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Special Features', 'Breathable,Moisture Wicking,Quick Dry', 'Product Care Instructions', 'Hand Wash Only', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Spring And Summer', 'Applicable Scene', 'Daily', 'Collar', 'O-Neck', 'Material', 'POLYESTER', 'Style', 'Sports', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Origin', 'Mainland China', 'CN', 'Anhui', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256806897293822.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-18&pdp_ext_f=%7B%22order%22%3A%228502%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2151.12%2110.44%21%21%21350.14%2171.48%21%402101ee6617740392819583236e65ef%2112000039343518220%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=E5YjGDDVGEpv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007083608574%7C_p_origin_prod%3A
Summer men's 100% cotton casual loose fit large letter print round neck short sleeved T-shirt top High Street Unisex style,$0.99,"https://ae-pic-a1.aliexpress-media.com/kf/S547210a81dde408c90b9e7f34e7d8725S.jpg_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S64af57a24a444e54bfb874ef7796452a7.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S95cca81b77e145c8a6d186953a098fe8Q.jpg?has_lang=1&ver=1_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S8b8ab02ac2c748a28658b662823b7f6ar.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif,https://ae-pic-a1.aliexpress-media.com/kf/S94a89fb5a8384bf9a18103aeb68680fer.jpg?has_lang=1&ver=2_220x220q75.jpg_.avif","['Special Features', 'Breathable', 'Product Care Instructions', 'Machine Wash', 'Closure Type', 'Pull On', 'High-concerned chemical', 'None', 'Craft of Weaving', 'Knit', 'Applicable Season', 'Four Seasons', 'Applicable Scene', 'CASUAL', 'Material', 'COTTON', 'Style', 'Casual', 'Sleeve Length(cm)', 'Short (4 - 16 Inch)', 'Brand Name', 'GUILAN', 'Origin', 'Mainland China', 'CN', 'Zhejiang', 'Gender', 'Men', 'Tops Type', 'TEES', 'Item Type', 'tops']",https://www.aliexpress.us/item/3256807606384336.html?algo_pvid=72795b57-49aa-4861-81bd-c8ef2e76261e&algo_exp_id=72795b57-49aa-4861-81bd-c8ef2e76261e-19&pdp_ext_f=%7B%22order%22%3A%228097%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2118.78%210.99%21%21%21128.65%216.80%21%402101ee6617740392819583236e65ef%2112000042219398069%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1f9a66d4%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=8OWTgzqERIZ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792699088%7C_p_origin_prod%3A
